training-size,NDPM1,NDPM2,NDPM3,NDPM4,NDPM5,AVG-NDPM,std-deviation
10,0.433416,0.329015,0.401791,0.364641,0.46828,0.39093175,0.0549306193
11,0.39036,0.377786,0.390932,0.348638,0.444275,0.39040775,0.0346625802
12,0.381215,0.322347,0.366737,0.352067,0.457992,0.37478575,0.050712658
13,0.404649,0.317775,0.363688,0.320633,0.420461,0.35563925,0.0470301634
14,0.377024,0.363688,0.363498,0.325586,0.449228,0.3755,0.0453118494
15,0.332635,0.345209,0.387693,0.313774,0.446561,0.37330925,0.0529865475
16,0.343303,0.322157,0.419318,0.317965,0.430558,0.3724995,0.0542058319
17,0.332635,0.33454,0.418746,0.326157,0.418175,0.3744045,0.047944702
18,0.351305,0.349781,0.398552,0.314155,0.400267,0.36568875,0.0365716635
19,0.349971,0.345018,0.377786,0.31606,0.418175,0.36425975,0.0385571302
20,0.322347,0.334349,0.383121,0.310916,0.411316,0.3599255,0.0429092591
21,0.321204,0.385026,0.372071,0.340446,0.400457,0.3745,0.0324904154
22,0.326348,0.34959,0.381787,0.33816,0.39398,0.36587925,0.0288382599
23,0.317013,0.322919,0.378739,0.328062,0.389408,0.354782,0.0340708995
24,0.311107,0.341017,0.354353,0.333206,0.384835,0.35335275,0.0272853328
25,0.298343,0.349019,0.336826,0.320061,0.398362,0.351067,0.0375134829
26,0.306725,0.337588,0.338541,0.314536,0.35702,0.33692125,0.0202335002
27,0.294342,0.375119,0.325967,0.313774,0.36807,0.3457325,0.0349547486
28,0.318156,0.326348,0.339684,0.315108,0.385216,0.341589,0.0286345944
29,0.280625,0.335302,0.326157,0.27872,0.348447,0.3221565,0.0321971291
30,0.295104,0.34559,0.341017,0.296437,0.347685,0.33268225,0.0269470714
31,0.305392,0.372642,0.325776,0.284435,0.381406,0.34106475,0.0420810222
32,0.294151,0.328634,0.291103,0.300057,0.350352,0.3175365,0.0256991229
33,0.308059,0.346352,0.317203,0.29377,0.34959,0.32672875,0.0243083086
34,0.283673,0.33454,0.300438,0.279482,0.364069,0.31963225,0.0360963353
35,0.29377,0.325395,0.325205,0.289388,0.33073,0.3176795,0.0196482694
36,0.274528,0.314727,0.301772,0.27891,0.309202,0.30115275,0.0181057721
37,0.292818,0.323681,0.291103,0.27491,0.356639,0.31158325,0.0324901976
38,0.286721,0.314917,0.289198,0.260621,0.336255,0.30024775,0.0289415947
39,0.277958,0.301772,0.280625,0.278339,0.331111,0.29796175,0.0230169829
40,0.311107,0.318537,0.283292,0.259669,0.31987,0.295342,0.0262498782
41,0.284626,0.313012,0.276243,0.275481,0.303296,0.292008,0.0168364118
42,0.290722,0.305201,0.281196,0.272242,0.322728,0.29534175,0.0199874077
43,0.27872,0.31244,0.276434,0.277386,0.311107,0.29434175,0.018788537
44,0.293199,0.313584,0.264812,0.258335,0.297962,0.28367325,0.0232872655
45,0.289579,0.298914,0.269956,0.261955,0.298533,0.2823395,0.0169392347
