training-size,NDPM1,NDPM2,NDPM3,NDPM4,NDPM5,AVG-NDPM,std-deviation
10,0.326538,0.357211,0.369404,0.432463,0.388455,0.3748142,0.0393039119
11,0.33835,0.365212,0.376072,0.421414,0.426938,0.3855972,0.0378499955
12,0.348828,0.385407,0.36807,0.382359,0.434559,0.3838446,0.031826085
13,0.3755,0.360831,0.364641,0.393408,0.412841,0.3814442,0.0216302833
14,0.337969,0.373023,0.377215,0.389979,0.368832,0.3694036,0.0192738548
15,0.388455,0.37188,0.367308,0.342351,0.357211,0.365441,0.0171425757
16,0.365403,0.398933,0.348257,0.331301,0.373023,0.3633834,0.0255874144
17,0.352829,0.39036,0.315489,0.34559,0.363688,0.3535912,0.0272500817
18,0.329587,0.404077,0.350162,0.334921,0.312631,0.3462756,0.0349839298
19,0.333397,0.411126,0.331492,0.338922,0.306154,0.3442182,0.0394735395
20,0.369023,0.378167,0.328444,0.343875,0.321585,0.3482188,0.0247435852
21,0.350924,0.362736,0.300819,0.33092,0.271671,0.323414,0.0372398708
22,0.370928,0.381025,0.32711,0.324824,0.295485,0.3398744,0.035417373
23,0.380263,0.359497,0.324252,0.316441,0.273004,0.3306914,0.0414109949
24,0.335111,0.363688,0.318537,0.31587,0.332254,0.333092,0.0190350934
25,0.318346,0.341779,0.310726,0.310916,0.303486,0.3170506,0.0147885436
26,0.311678,0.381787,0.304439,0.287864,0.294913,0.3161362,0.0378036674
27,0.322538,0.370928,0.321966,0.338541,0.282149,0.3272244,0.0320915678
28,0.304058,0.343303,0.303677,0.299486,0.298724,0.3098496,0.0188544211
29,0.340636,0.316822,0.30501,0.295866,0.291484,0.3099636,0.0197015854
30,0.296818,0.370166,0.320823,0.324062,0.322538,0.3268814,0.026649967
31,0.33816,0.330158,0.3233,0.323871,0.329968,0.3290914,0.0060195195
32,0.31606,0.373976,0.269575,0.325205,0.273004,0.311564,0.0428704396
33,0.306154,0.309964,0.282339,0.325967,0.339493,0.3127834,0.0215984345
34,0.305582,0.313965,0.29377,0.301772,0.327681,0.308554,0.0129278383
35,0.319489,0.307678,0.290341,0.287293,0.291675,0.2992952,0.0137873025
36,0.292246,0.344256,0.279672,0.30863,0.30101,0.3051628,0.0243627283
37,0.293199,0.329206,0.288626,0.301962,0.299486,0.3024958,0.015823878
38,0.289007,0.315679,0.311297,0.296247,0.28996,0.300438,0.0123311261
39,0.30482,0.313393,0.287102,0.30482,0.283102,0.2986474,0.0129285578
40,0.283673,0.303296,0.270909,0.306344,0.308059,0.2944562,0.0163954723
41,0.294913,0.312059,0.272433,0.29377,0.281577,0.2909504,0.0149998339
42,0.264812,0.295675,0.269575,0.285197,0.278148,0.2786814,0.0123167242
43,0.297771,0.308059,0.260621,0.273766,0.265003,0.281044,0.0208385739
44,0.277767,0.283102,0.285769,0.269004,0.270909,0.2773102,0.0073360962
45,0.281958,0.315679,0.287293,0.289769,0.270147,0.2889692,0.0167354032
46,0.264622,0.29739,0.285578,0.270718,0.288245,0.2813106,0.0133749416
47,0.25281,0.30101,0.255096,0.258906,0.293961,0.2723566,0.0231769495
48,0.239284,0.297199,0.284816,0.272052,0.286721,0.2760144,0.0223925748
49,0.254334,0.298152,0.264431,0.279291,0.268051,0.2728518,0.0167214674
50,0.253001,0.303296,0.275481,0.262336,0.290532,0.2769292,0.0204197321
51,0.25262,0.290341,0.262145,0.262717,0.265003,0.2665652,0.0141115604
52,0.266527,0.283864,0.259669,0.273576,0.263669,0.269461,0.0095186464
53,0.254906,0.278529,0.254144,0.265193,0.25662,0.2618784,0.0102994554
54,0.268051,0.303105,0.272433,0.26767,0.264241,0.2751,0.0159232856
55,0.247666,0.274719,0.280244,0.260621,0.260621,0.2647742,0.0128976975
56,0.276624,0.256811,0.273004,0.260431,0.245571,0.2624882,0.0125803142
