training-size,num-graded,NDPM
10,5,0.425224
21,7,0.353782
28,8,0.381596
45,10,0.316822
66,12,0.323681
78,13,0.298914
105,15,0.31225
136,17,0.269194
171,19,0.278148
210,21,0.266146
253,23,0.250333
300,25,0.258906
351,27,0.257382
406,29,0.245571
465,31,0.231473
528,33,0.234521
595,35,0.2008
630,36,0.210707
703,38,0.208421
780,40,0.188226
820,41,0.184797
903,43,0.180796
990,45,0.187274
1081,47,0.187274
1176,49,0.173747
1275,51,0.171461
1378,53,0.169366
1485,55,0.166508
1540,56,0.16746
1653,58,0.158316
1711,59,0.151457
1830,61,0.150505
1891,62,0.153553
1953,63,0.146695
2016,64,0.150695
2145,66,0.144027
2211,67,0.144789
2346,69,0.143265
2415,70,0.129167
2485,71,0.121737
2628,73,0.119642
2701,74,0.120023
2775,75,0.111831
2850,76,0.100019
2926,77,0.0946847
3003,78,0.0929701
3160,80,0.0887788
3240,81,0.0878263
3321,82,0.0819204
3403,83,0.0809678
3486,84,0.0783006
3570,85,0.0670604
3655,86,0.0626786
3741,87,0.060583
3828,88,0.0567727
3916,89,0.0522004
4095,91,0.0478186
4186,92,0.0430558
4278,93,0.0390551
4371,94,0.038293
4465,95,0.0377215
4560,96,0.0341017
4656,97,0.0327681
4753,98,0.0232425
4851,99,0.0200038
4950,100,0.0116213
5050,101,0.0104782
5151,102,0.0106687
5253,103,0.00533435
5356,104,0.00361974
5460,105,0.0030482
