training-size,num-graded,NDPM
10,5,0.437798
21,7,0.418746
36,9,0.383502
45,10,0.325205
66,12,0.302343
91,14,0.303296
120,16,0.294913
153,18,0.31968
190,20,0.282911
210,21,0.283673
253,23,0.269766
276,24,0.261193
325,26,0.26767
351,27,0.259287
378,28,0.265384
406,29,0.259287
435,30,0.253001
496,32,0.256811
561,34,0.254525
630,36,0.259669
703,38,0.255096
780,40,0.253191
861,42,0.227472
946,44,0.225567
1035,46,0.218137
1128,48,0.222519
1176,49,0.220042
1275,51,0.205372
1326,52,0.198514
1378,53,0.19337
1431,54,0.186321
1540,56,0.168794
1596,57,0.170699
1711,59,0.170509
1770,60,0.166127
1830,61,0.162888
1953,63,0.155458
2016,64,0.157744
2145,66,0.146314
2211,67,0.146885
2278,68,0.146695
2346,69,0.138693
2485,71,0.134121
2628,73,0.123643
2701,74,0.121547
2775,75,0.110878
2850,76,0.108211
2926,77,0.107449
3081,79,0.0954468
3160,80,0.0973519
3240,81,0.0906839
3321,82,0.0933511
3403,83,0.0861116
3486,84,0.084397
3570,85,0.0800152
3655,86,0.0723947
3741,87,0.0712517
3828,88,0.0710612
3916,89,0.0693465
4095,91,0.0655363
4186,92,0.0689655
4278,93,0.0655363
4371,94,0.0632501
4465,95,0.0602019
4560,96,0.0581063
4656,97,0.0546771
4753,98,0.0529625
4851,99,0.0480091
4950,100,0.0445799
5050,101,0.0302915
5151,102,0.0236235
5253,103,0.0114307
5356,104,0.00781101
5460,105,0.00190512
