training-size,num-graded,NDPM
10,5,0.366546
15,6,0.361783
21,7,0.369023
28,8,0.372642
36,9,0.322919
45,10,0.340065
55,11,0.344447
66,12,0.327681
78,13,0.332063
91,14,0.318156
105,15,0.327681
120,16,0.321776
136,17,0.317584
153,18,0.321204
171,19,0.285578
190,20,0.30482
210,21,0.288817
231,22,0.306535
253,23,0.320251
276,24,0.321014
300,25,0.273195
325,26,0.277577
351,27,0.27491
378,28,0.262145
406,29,0.257763
435,30,0.257763
465,31,0.252239
496,32,0.247857
528,33,0.247095
561,34,0.249
595,35,0.245571
630,36,0.245571
666,37,0.235092
703,38,0.242141
741,39,0.243094
780,40,0.239284
820,41,0.238712
861,42,0.244618
903,43,0.215851
946,44,0.214136
990,45,0.217184
1035,46,0.201753
1081,47,0.199276
1128,48,0.191084
1176,49,0.184226
1225,50,0.18232
1275,51,0.1747
1326,52,0.158316
1378,53,0.158697
1431,54,0.156411
1485,55,0.150505
1540,56,0.148981
1596,57,0.143837
1653,58,0.135073
1711,59,0.135454
1770,60,0.136978
1830,61,0.13393
1891,62,0.132978
1953,63,0.132025
2016,64,0.125548
2080,65,0.120213
2145,66,0.120785
2211,67,0.114498
2278,68,0.119451
2346,69,0.108783
2415,70,0.116594
2485,71,0.110688
2556,72,0.108973
2628,73,0.108783
2701,74,0.103639
2775,75,0.0981139
2850,76,0.100019
2926,77,0.103067
3003,78,0.0956373
3081,79,0.0885883
3160,80,0.091446
3240,81,0.0878263
3321,82,0.0855401
3403,83,0.0798247
3486,84,0.076586
3570,85,0.0731568
3655,86,0.0697276
3741,87,0.069156
3828,88,0.0621071
3916,89,0.0594399
4005,90,0.0582968
4095,91,0.0529625
4186,92,0.0468661
4278,93,0.0455325
4371,94,0.0426748
4465,95,0.0424843
4560,96,0.0339112
4656,97,0.0302915
4753,98,0.031244
4851,99,0.0253382
4950,100,0.0236235
5050,101,0.0219089
5151,102,0.0207659
5253,103,0.0112402
5356,104,0.0106687
5460,105,0.00781101
