training-size,num-graded,NDPM
10,5,0.626024
15,6,0.548485
21,7,0.52772
28,8,0.490951
36,9,0.464469
45,10,0.430939
55,11,0.399505
66,12,0.307487
78,13,0.319489
91,14,0.302724
105,15,0.293008
120,16,0.28996
136,17,0.289769
153,18,0.27491
171,19,0.261764
190,20,0.257763
210,21,0.263098
231,22,0.26024
253,23,0.261002
276,24,0.259478
300,25,0.260621
325,26,0.258906
351,27,0.262907
378,28,0.26405
406,29,0.269004
435,30,0.259478
465,31,0.247285
496,32,0.258525
528,33,0.243856
561,34,0.242141
595,35,0.236998
630,36,0.231282
666,37,0.228615
703,38,0.225376
741,39,0.217375
780,40,0.20804
820,41,0.206516
861,42,0.212421
903,43,0.207468
946,44,0.195656
990,45,0.202896
1035,46,0.20061
1081,47,0.202896
1128,48,0.196228
1176,49,0.196799
1225,50,0.182511
1275,51,0.187083
1326,52,0.191846
1378,53,0.18594
1431,54,0.179082
1485,55,0.178701
1540,56,0.177558
1596,57,0.174509
1653,58,0.177177
1711,59,0.172033
1770,60,0.161745
1830,61,0.154506
1891,62,0.154696
1953,63,0.151076
2016,64,0.143646
2080,65,0.131454
2145,66,0.125548
2211,67,0.127643
2278,68,0.122118
2346,69,0.118308
2415,70,0.12269
2485,71,0.121547
2556,72,0.116594
2628,73,0.112783
2701,74,0.108592
2775,75,0.106306
2850,76,0.098495
2926,77,0.10021
3003,78,0.0979234
3081,79,0.0908745
3160,80,0.0883978
3240,81,0.0819204
3321,82,0.0748714
3403,83,0.0735378
3486,84,0.0659173
3570,85,0.0704896
3655,86,0.0611545
3741,87,0.052772
3828,88,0.0481997
3916,89,0.0506763
4005,90,0.045342
4095,91,0.0438179
4186,92,0.0403886
4278,93,0.0363879
4371,94,0.0333397
4465,95,0.0243856
4560,96,0.0215279
4656,97,0.0161936
4753,98,0.01486
4851,99,0.0150505
4950,100,0.0137169
5050,101,0.00876357
5151,102,0.00533435
5253,103,0.00533435
5356,104,0.00590589
5460,105,0.00285769
