training-size,num-graded,NDPM1,NDPM2,NDPM3,NDPM4,NDPM5,AVG-NDPM,std-deviation
10,5,0.42008,0.485235,0.405601,0.355687,0.47952,0.4292246,0.0484071668
15,6,0.428272,0.483711,0.403886,0.373404,0.404077,0.41867,0.036886483
21,7,0.448085,0.439512,0.354544,0.358926,0.439893,0.408192,0.0421487696
28,8,0.54658,0.367118,0.380263,0.343113,0.377215,0.4028578,0.0730355029
36,9,0.52048,0.342732,0.414555,0.34197,0.35683,0.3953134,0.0680120739
45,10,0.522957,0.336636,0.3233,0.308821,0.307868,0.3599164,0.0822006701
55,11,0.462374,0.365974,0.317965,0.30844,0.313965,0.3537436,0.058077548
66,12,0.352829,0.376262,0.342922,0.298914,0.285578,0.331301,0.0339396654
78,13,0.379501,0.359878,0.325586,0.326729,0.290722,0.3364832,0.0306784243
91,14,0.361402,0.370356,0.327872,0.323681,0.28615,0.3338922,0.0300207491
105,15,0.407506,0.371309,0.325014,0.311107,0.277577,0.3385026,0.0457867209
120,16,0.407506,0.37188,0.314155,0.289769,0.272052,0.3310724,0.0509567117
136,17,0.414365,0.323871,0.311297,0.295104,0.274528,0.323833,0.0481861686
153,18,0.392265,0.335111,0.35321,0.28615,0.272623,0.3278718,0.043895451
171,19,0.355687,0.329206,0.309583,0.277767,0.273385,0.3091256,0.0310874506
190,20,0.375119,0.330539,0.292818,0.274528,0.272433,0.3090874,0.0390459572
210,21,0.379691,0.319489,0.318727,0.277577,0.270909,0.3132786,0.0388552397
231,22,0.380072,0.317775,0.293008,0.280053,0.270909,0.3083634,0.0391683563
253,23,0.396456,0.314155,0.273195,0.279482,0.268432,0.306344,0.0478308002
276,24,0.394932,0.291103,0.267289,0.270718,0.275291,0.2998666,0.0482268224
300,25,0.371118,0.299867,0.278148,0.267289,0.261764,0.2956372,0.0399302607
325,26,0.346352,0.315108,0.272623,0.268242,0.270147,0.2944944,0.0312233045
351,27,0.3755,0.300248,0.282721,0.270147,0.266908,0.2991048,0.0399528485
378,28,0.377977,0.306725,0.266717,0.252429,0.263479,0.2934654,0.0460796587
406,29,0.375881,0.31244,0.25662,0.253001,0.258525,0.2912934,0.0476331006
435,30,0.30101,0.318346,0.264622,0.246523,0.247666,0.2756334,0.0290488547
465,31,0.276624,0.294913,0.269575,0.246142,0.259669,0.2693846,0.0163631031
496,32,0.273576,0.273004,0.262907,0.248619,0.228996,0.2574204,0.0168485367
528,33,0.276434,0.27129,0.263479,0.236616,0.243094,0.2581826,0.0156572889
561,34,0.267861,0.262717,0.244046,0.236807,0.235473,0.2493808,0.0134116327
595,35,0.286721,0.268432,0.236426,0.233568,0.234711,0.2519716,0.0217106059
630,36,0.274719,0.261383,0.240046,0.223852,0.228234,0.2456468,0.019505941
666,37,0.277767,0.250333,0.228805,0.225376,0.223281,0.2411124,0.020715426
703,38,0.27491,0.236998,0.218899,0.226519,0.225186,0.2365024,0.0200648859
741,39,0.261193,0.24176,0.208421,0.228805,0.215279,0.2310916,0.0189162999
780,40,0.268432,0.228996,0.20823,0.227853,0.216041,0.2299104,0.0207431082
820,41,0.238712,0.220613,0.208992,0.224233,0.216041,0.2217182,0.0099047634
861,42,0.230139,0.220804,0.202705,0.230711,0.209183,0.2187084,0.011188875
903,43,0.225567,0.220423,0.202134,0.228234,0.207468,0.2167652,0.0102263825
946,44,0.226519,0.216422,0.201562,0.217184,0.19318,0.2109734,0.0119591305
990,45,0.21928,0.218708,0.205182,0.216041,0.194513,0.2107448,0.0095783924
1035,46,0.204039,0.210135,0.198323,0.217565,0.186893,0.203391,0.0104371677
1081,47,0.204229,0.213946,0.196037,0.218137,0.181558,0.2027814,0.0131031136
1128,48,0.18956,0.218327,0.191084,0.213755,0.181558,0.1988568,0.0144716305
1176,49,0.193942,0.209945,0.186321,0.218137,0.175081,0.1966852,0.0156056737
1225,50,0.184797,0.194704,0.191846,0.204801,0.180796,0.1913888,0.0083276159
1275,51,0.19318,0.195466,0.189369,0.199657,0.179653,0.191465,0.0067819562
1326,52,0.194894,0.184988,0.182511,0.191656,0.175081,0.185826,0.0069765897
1378,53,0.173747,0.183273,0.176224,0.185559,0.165555,0.1768716,0.0071371813
1431,54,0.174319,0.179653,0.176034,0.186131,0.160793,0.175386,0.0083447751
1485,55,0.168223,0.178701,0.1747,0.180225,0.154887,0.1713472,0.0092177414
1540,56,0.166127,0.177177,0.170699,0.174128,0.155458,0.1687178,0.0075800795
1596,57,0.166127,0.179463,0.173557,0.17489,0.158887,0.1705848,0.0072512297
1653,58,0.163079,0.172985,0.170128,0.168032,0.151457,0.1651362,0.0075665048
1711,59,0.165746,0.164603,0.160412,0.169747,0.149933,0.1620882,0.0067663797
1770,60,0.157363,0.162317,0.162698,0.166127,0.152982,0.1602974,0.0046032962
1830,61,0.154696,0.161555,0.15622,0.160793,0.152791,0.157211,0.0034218348
1891,62,0.155268,0.151648,0.155649,0.167841,0.14879,0.1558392,0.0065063512
1953,63,0.146885,0.152219,0.14879,0.161364,0.152982,0.152448,0.0049831834
2016,64,0.143265,0.147076,0.159078,0.146885,0.145552,0.1483712,0.0055234603
2080,65,0.140979,0.137359,0.153172,0.148409,0.141932,0.1443702,0.0056636661
2145,66,0.132406,0.136216,0.153363,0.147266,0.140598,0.1419698,0.0075406772
2211,67,0.131263,0.13755,0.140979,0.141551,0.133359,0.1369404,0.0040742811
2278,68,0.123071,0.125357,0.143075,0.139646,0.127834,0.1317966,0.0080264828
2346,69,0.119832,0.119451,0.12993,0.135073,0.119642,0.1247856,0.0065076598
2415,70,0.116403,0.115641,0.125548,0.128215,0.120404,0.1212422,0.0049528523
2485,71,0.10764,0.120975,0.127072,0.130501,0.117356,0.1207088,0.007981017
2556,72,0.10421,0.114307,0.125929,0.129167,0.104972,0.115717,0.0103444828
2628,73,0.0899219,0.108402,0.124595,0.121166,0.110688,0.11095458,0.0121597246
2701,74,0.0802058,0.104591,0.117546,0.116784,0.105734,0.10497216,0.0135034758
2775,75,0.0897314,0.0990665,0.118308,0.113545,0.104782,0.10508658,0.0101829907
2850,76,0.0777291,0.0906839,0.114117,0.10783,0.0965898,0.09738996,0.0128136585
2926,77,0.0685845,0.092208,0.108211,0.0967803,0.0925891,0.09167458,0.0129135142
3003,78,0.0666794,0.0868737,0.103448,0.0931606,0.0973519,0.08950272,0.012627559
3081,79,0.0657268,0.0903029,0.099638,0.0889693,0.0952562,0.08797864,0.011751013
3160,80,0.0636312,0.0849686,0.102115,0.0912555,0.0927796,0.08694998,0.0128855824
3240,81,0.0622976,0.0813488,0.101734,0.083254,0.0830634,0.08233956,0.0124913267
3321,82,0.0621071,0.0830634,0.100781,0.0823014,0.0754429,0.08073916,0.0125277457
3403,83,0.0563917,0.0792532,0.099257,0.0729663,0.0670604,0.07498572,0.014282386
3486,84,0.0571537,0.0771576,0.0935416,0.0737283,0.0607735,0.07247094,0.0129535045
3570,85,0.053915,0.0685845,0.0855401,0.0712517,0.0592494,0.06770814,0.0108913233
3655,86,0.0520099,0.0636312,0.0803963,0.0731568,0.0579158,0.065422,0.010232216
3741,87,0.0497238,0.0554391,0.076586,0.068775,0.0548676,0.0610783,0.0099902552
3828,88,0.0489617,0.046485,0.076205,0.0664889,0.0491522,0.05745856,0.0117863253
3916,89,0.0449609,0.045342,0.0722042,0.0630596,0.0516289,0.05543912,0.0106339299
4005,90,0.0407697,0.0438179,0.0737283,0.0554391,0.0438179,0.05151458,0.0121883668
4095,91,0.0358163,0.0417222,0.068394,0.0522004,0.0398171,0.04759,0.011726306
