training-size,num-graded,NDPM
10,5,0.47952
15,6,0.404077
21,7,0.439893
28,8,0.377215
36,9,0.35683
45,10,0.307868
55,11,0.313965
66,12,0.285578
78,13,0.290722
91,14,0.28615
105,15,0.277577
120,16,0.272052
136,17,0.274528
153,18,0.272623
171,19,0.273385
190,20,0.272433
210,21,0.270909
231,22,0.270909
253,23,0.268432
276,24,0.275291
300,25,0.261764
325,26,0.270147
351,27,0.266908
378,28,0.263479
406,29,0.258525
435,30,0.247666
465,31,0.259669
496,32,0.228996
528,33,0.243094
561,34,0.235473
595,35,0.234711
630,36,0.228234
666,37,0.223281
703,38,0.225186
741,39,0.215279
780,40,0.216041
820,41,0.216041
861,42,0.209183
903,43,0.207468
946,44,0.19318
990,45,0.194513
1035,46,0.186893
1081,47,0.181558
1128,48,0.181558
1176,49,0.175081
1225,50,0.180796
1275,51,0.179653
1326,52,0.175081
1378,53,0.165555
1431,54,0.160793
1485,55,0.154887
1540,56,0.155458
1596,57,0.158887
1653,58,0.151457
1711,59,0.149933
1770,60,0.152982
1830,61,0.152791
1891,62,0.14879
1953,63,0.152982
2016,64,0.145552
2080,65,0.141932
2145,66,0.140598
2211,67,0.133359
2278,68,0.127834
2346,69,0.119642
2415,70,0.120404
2485,71,0.117356
2556,72,0.104972
2628,73,0.110688
2701,74,0.105734
2775,75,0.104782
2850,76,0.0965898
2926,77,0.0925891
3003,78,0.0973519
3081,79,0.0952562
3160,80,0.0927796
3240,81,0.0830634
3321,82,0.0754429
3403,83,0.0670604
3486,84,0.0607735
3570,85,0.0592494
3655,86,0.0579158
3741,87,0.0548676
3828,88,0.0491522
3916,89,0.0516289
4005,90,0.0438179
4095,91,0.0398171
4186,92,0.0400076
4278,93,0.0392456
4371,94,0.0369594
4465,95,0.038293
4560,96,0.0403886
4656,97,0.0360069
4753,98,0.0333397
4851,99,0.0293389
4950,100,0.0257192
5050,101,0.0255287
5151,102,0.0255287
5253,103,0.0236235
5356,104,0.0154315
5460,105,0.0104782
