training-size,num-distinct,NDPM
10,19,0.354353
11,20,0.356639
12,22,0.338731
13,24,0.328253
14,26,0.330349
15,28,0.323109
16,30,0.305963
17,32,0.307868
18,34,0.305582
19,34,0.314155
20,36,0.285959
21,38,0.290913
22,40,0.320442
23,40,0.309773
24,41,0.255668
25,43,0.268623
26,45,0.251857
27,45,0.255096
28,47,0.240808
29,47,0.262907
30,49,0.260431
31,50,0.261764
32,50,0.262145
33,51,0.244809
34,52,0.242141
35,53,0.240046
36,53,0.239093
37,55,0.248809
38,56,0.256239
39,58,0.236426
40,58,0.231282
41,60,0.235854
42,62,0.24538
43,64,0.255668
44,64,0.240427
45,65,0.249381
46,66,0.238712
47,66,0.22671
48,67,0.240236
49,69,0.249381
50,69,0.242903
51,70,0.213755
52,71,0.239855
53,73,0.224995
54,74,0.231282
55,75,0.222709
56,75,0.232806
57,76,0.236045
58,76,0.238331
59,77,0.207468
60,78,0.228043
61,78,0.244428
62,78,0.215279
63,79,0.22309
64,79,0.218708
65,80,0.215851
66,80,0.213374
67,80,0.20823
68,80,0.216994
69,80,0.192418
70,82,0.209183
71,83,0.233949
72,83,0.200419
73,83,0.199657
74,84,0.204991
75,85,0.210707
76,85,0.197561
77,86,0.201181
78,86,0.205563
79,87,0.20442
80,87,0.197561
81,87,0.198323
82,88,0.183273
83,88,0.188036
84,89,0.186512
85,89,0.1747
86,89,0.18213
87,91,0.173747
88,91,0.174509
89,91,0.196609
90,91,0.168413
91,92,0.172223
92,92,0.172604
93,92,0.16365
94,92,0.167841
95,93,0.156792
96,94,0.168604
97,94,0.177177
98,94,0.168794
99,94,0.172033
100,95,0.166317
101,95,0.155458
102,96,0.153172
103,96,0.16346
104,97,0.158316
105,97,0.148028
106,97,0.149171
107,98,0.151076
108,98,0.151457
109,98,0.147838
110,98,0.164031
111,98,0.152219
112,98,0.138312
113,98,0.150886
114,98,0.13755
115,98,0.149362
116,98,0.136788
117,99,0.139836
118,99,0.143837
119,99,0.134692
120,99,0.155839
121,99,0.136788
122,99,0.141741
123,99,0.142694
124,99,0.150314
125,99,0.150505
126,100,0.138312
127,100,0.133168
128,100,0.137359
129,100,0.12993
130,100,0.135835
131,100,0.138122
132,100,0.13012
133,100,0.131454
134,100,0.1265
135,100,0.130882
136,100,0.136978
137,100,0.126119
138,100,0.136026
139,100,0.135073
140,100,0.127834
141,100,0.121928
142,100,0.12269
143,100,0.116975
144,100,0.119261
145,100,0.116022
146,100,0.120023
147,100,0.121547
148,100,0.117356
149,101,0.110497
150,102,0.10764
151,102,0.114307
152,103,0.101543
153,103,0.101734
154,103,0.112402
155,103,0.113736
156,103,0.106115
157,103,0.0979234
158,103,0.101543
159,103,0.0979234
160,104,0.0937321
161,104,0.0935416
162,104,0.0908745
163,104,0.0908745
164,104,0.0990665
165,104,0.0933511
166,104,0.0885883
167,104,0.0802058
168,104,0.0800152
169,104,0.0779196
170,104,0.0977329
171,104,0.0891598
172,104,0.0823014
173,104,0.0823014
174,104,0.0800152
175,104,0.0813488
176,104,0.0876357
177,104,0.0752524
178,105,0.0815393
179,105,0.0779196
180,105,0.0834445
181,105,0.0731568
182,105,0.0777291
183,105,0.0741094
184,105,0.0794437
185,105,0.0760145
186,105,0.075824
187,105,0.0744904
188,105,0.0864927
189,105,0.0784911
190,105,0.0784911
191,105,0.0845875
192,105,0.0729663
193,105,0.0704896
194,105,0.0880168
195,105,0.0883978
196,105,0.0849686
197,105,0.0725853
198,105,0.0670604
199,105,0.0754429
200,105,0.069156
201,105,0.0699181
202,105,0.0752524
203,106,0.0735378
204,106,0.0725853
205,106,0.0676319
206,106,0.0731568
207,106,0.0733473
208,106,0.0704896
209,106,0.061345
210,106,0.0701086
211,106,0.0699181
212,106,0.0666794
213,106,0.0718232
214,106,0.0802058
215,106,0.0722042
216,106,0.076967
217,106,0.0737283
218,106,0.0693465
219,106,0.0802058
220,107,0.083635
221,107,0.0670604
222,107,0.0819204
223,107,0.0674414
224,107,0.0661078
225,107,0.0662983
226,107,0.0689655
227,107,0.0685845
228,107,0.0619166
229,107,0.0602019
230,107,0.075824
231,107,0.0624881
232,107,0.0706801
233,107,0.0760145
234,107,0.0662983
235,107,0.0727758
236,107,0.0733473
237,107,0.0727758
238,107,0.061345
239,107,0.0584873
240,107,0.0712517
241,107,0.0746809
242,107,0.0567727
243,107,0.0682035
244,107,0.061345
245,107,0.0642027
246,107,0.0550581
247,107,0.0672509
248,107,0.0699181
249,107,0.0655363
250,107,0.0676319
251,107,0.0653458
252,107,0.0661078
253,107,0.0664889
254,107,0.0668699
255,107,0.0674414
256,107,0.0626786
257,107,0.0596304
258,107,0.0693465
259,107,0.0628691
260,107,0.0695371
261,107,0.0655363
262,107,0.0602019
263,107,0.0518194
264,107,0.0642027
265,107,0.0560107
266,107,0.0626786
267,107,0.0584873
268,107,0.0653458
269,107,0.0567727
270,107,0.0600114
271,107,0.0529625
272,107,0.0642027
273,107,0.0520099
274,107,0.0514384
275,107,0.0512479
276,107,0.0508668
277,107,0.0577253
278,107,0.0592494
279,107,0.060583
280,107,0.0565822
281,107,0.0596304
282,107,0.0556296
283,107,0.0562012
284,107,0.0596304
285,107,0.0520099
286,107,0.0586778
287,107,0.0581063
288,107,0.053915
289,107,0.0520099
290,107,0.0588684
291,107,0.053153
292,107,0.0552486
293,107,0.0552486
294,107,0.0508668
295,107,0.0602019
296,107,0.0518194
297,107,0.0647742
298,107,0.0514384
299,107,0.0581063
300,107,0.0567727
301,107,0.060583
