training-size,num-distinct,NDPM
10,19,0.417603
11,21,0.389789
12,23,0.376834
13,25,0.379691
14,27,0.368832
15,27,0.396456
16,28,0.388645
17,30,0.361593
18,32,0.357782
19,34,0.361212
20,36,0.337017
21,38,0.35702
22,40,0.349209
23,41,0.371118
24,43,0.362545
25,44,0.343685
26,45,0.352448
27,46,0.363117
28,48,0.377024
29,48,0.339874
30,50,0.329396
31,52,0.336826
32,54,0.322919
33,55,0.313584
34,56,0.301391
35,56,0.330539
36,57,0.314727
37,58,0.307106
38,60,0.314536
39,60,0.341017
40,61,0.301391
41,62,0.307297
42,64,0.329396
43,65,0.303105
44,66,0.28634
45,66,0.287483
46,68,0.292246
47,68,0.316822
48,70,0.315489
49,71,0.285959
50,72,0.295675
51,73,0.298914
52,74,0.305773
53,74,0.284816
54,74,0.275862
55,75,0.306916
56,76,0.293389
57,78,0.294342
58,79,0.302915
59,81,0.304629
60,82,0.317203
61,82,0.297199
62,83,0.319299
63,83,0.285007
64,83,0.304629
65,83,0.2751
66,84,0.285578
67,85,0.269194
68,85,0.275291
69,85,0.259097
70,85,0.272814
71,86,0.277958
72,86,0.27491
73,86,0.273576
74,87,0.261193
75,87,0.262907
76,88,0.248809
77,88,0.251095
78,88,0.261764
79,88,0.246333
80,89,0.245761
81,89,0.247095
82,90,0.259859
83,90,0.255287
84,91,0.238141
85,91,0.228234
86,92,0.243475
87,92,0.241951
88,92,0.233759
89,92,0.232997
90,92,0.233949
91,92,0.231282
92,93,0.231854
93,94,0.226138
94,94,0.235473
95,94,0.220423
96,94,0.219851
97,95,0.222519
98,95,0.2229
99,96,0.226519
100,96,0.213946
101,96,0.222519
102,96,0.208421
103,96,0.206325
104,96,0.206897
105,97,0.213946
106,97,0.212612
107,97,0.200419
108,97,0.202134
109,97,0.203086
110,97,0.204801
111,97,0.201372
112,98,0.191656
113,98,0.189369
114,99,0.189369
115,99,0.192799
116,99,0.195466
117,99,0.203467
118,99,0.190131
119,99,0.191275
120,99,0.186512
121,100,0.187845
122,100,0.192989
123,100,0.182701
124,100,0.180606
125,101,0.187655
126,101,0.190512
127,101,0.174509
128,101,0.183654
129,101,0.17089
130,101,0.180034
131,101,0.172795
132,101,0.173366
133,101,0.174319
134,101,0.184988
135,101,0.190894
136,101,0.184416
137,101,0.172033
138,101,0.17489
139,101,0.173747
140,101,0.176224
141,101,0.167079
142,101,0.17108
143,101,0.171842
144,101,0.169366
145,101,0.163079
146,101,0.165555
147,101,0.156792
148,101,0.159459
149,101,0.149171
